t,x,y
0,-17.5,0.0
1,-18.0,0.0
2,-18.5,0.0
3,-19.0,0.0
4,-19.5,0.0
5,-20.0,0.0
6,-20.5,0.0
7,-21.0,0.0
8,-21.5,0.0
9,-22.0,0.0
10,-22.5,0.0
11,-23.0,0.0
12,-23.5,0.0
13,-24.0,0.0
14,-24.5,0.0
15,-25.0,0.0
16,-25.5,0.0
17,-26.0,0.0
18,-26.5,0.0
19,-27.0,0.0
20,-27.5,0.0
21,-28.0,0.0
22,-28.5,0.0
23,-29.0,0.0
24,-29.5,0.0
25,-30.0,0.0
26,-30.5,0.0
27,-31.0,0.0
28,-31.5,0.0
29,-32.0,0.0
30,-32.5,0.0
31,-33.0,0.0
32,-33.5,0.0
33,-34.0,0.0
34,-34.5,0.0
35,-35.0,0.0
36,-35.1205,-0.05
37,-35.241,-0.10000000000000142
38,-35.3615,-0.15000000000000036
39,-35.482,-0.20000000000000107
40,-35.6025,-0.25
41,-35.723,-0.3000000000000007
42,-35.8435,-0.3500000000000014
43,-35.964,-0.40000000000000036
44,-36.0845,-0.45000000000000107
45,-36.205,-0.5
46,-36.3255,-0.5500000000000007
47,-36.446,-0.6000000000000014
48,-36.5665,-0.6500000000000004
49,-36.687,-0.7000000000000011
50,-36.8075,-0.75
51,-36.928,-0.8000000000000007
52,-37.0485,-0.8500000000000014
53,-37.169,-0.9000000000000004
54,-37.2895,-0.9500000000000011
55,-37.41,-1.0
56,-37.763999999999996,-1.3534999999999968
57,-38.117999999999995,-1.7070000000000007
58,-38.471999999999994,-2.0604999999999976
59,-38.82599999999999,-2.4139999999999944
60,-39.17999999999999,-2.7674999999999983
61,-39.53399999999999,-3.120999999999995
62,-39.88799999999999,-3.474499999999992
63,-40.24199999999999,-3.827999999999996
64,-40.59599999999999,-4.181499999999993
65,-40.94999999999999,-4.5349999999999895
66,-41.30399999999999,-4.888499999999986
67,-41.65799999999999,-5.24199999999999
68,-42.011999999999986,-5.595499999999987
69,-42.365999999999985,-5.948999999999984
70,-42.719999999999985,-6.302499999999988
71,-43.073999999999984,-6.655999999999985
72,-43.42799999999998,-7.009499999999981
73,-43.78199999999998,-7.362999999999978
74,-44.13599999999998,-7.716499999999982
75,-44.48999999999998,-8.069999999999979
76,-44.8435,-8.423499999999997
77,-45.196999999999996,-8.776999999999994
78,-45.55049999999999,-9.13049999999999
79,-45.90399999999999,-9.483999999999988
80,-46.257499999999986,-9.837499999999984
81,-46.61099999999998,-10.190999999999981
82,-46.96449999999998,-10.544499999999978
83,-47.31799999999998,-10.897999999999975
84,-47.67149999999997,-11.251499999999972
85,-48.02499999999997,-11.604999999999968
86,-48.37849999999997,-11.958499999999965
87,-48.731999999999964,-12.311999999999962
88,-49.08549999999996,-12.665499999999959
89,-49.43899999999996,-13.018999999999956
90,-49.792499999999954,-13.372499999999953
91,-50.14599999999995,-13.72599999999995
92,-50.49949999999995,-14.079499999999946
93,-50.852999999999945,-14.432999999999943
94,-51.20649999999994,-14.78649999999994
95,-51.55999999999994,-15.139999999999937
96,-51.55999999999994,-15.139999999999937
97,-51.20649999999994,-14.78649999999994
98,-50.852999999999945,-14.432999999999943
99,-50.49949999999995,-14.079499999999946
100,-50.14599999999995,-13.72599999999995
101,-49.792499999999954,-13.372499999999953
102,-49.43899999999996,-13.018999999999956
103,-49.08549999999996,-12.665499999999959
104,-48.731999999999964,-12.311999999999962
105,-48.37849999999997,-11.958499999999965
106,-48.02499999999997,-11.604999999999968
107,-47.67149999999997,-11.251499999999972
108,-47.31799999999998,-10.897999999999975
109,-46.96449999999998,-10.544499999999978
110,-46.61099999999998,-10.190999999999981
111,-46.257499999999986,-9.837499999999984
112,-45.90399999999999,-9.483999999999988
113,-45.55049999999999,-9.13049999999999
114,-45.196999999999996,-8.776999999999994
115,-44.8435,-8.423499999999997
116,-44.48999999999998,-8.069999999999979
117,-44.13599999999998,-7.716499999999982
118,-43.78199999999998,-7.362999999999978
119,-43.42799999999998,-7.009499999999981
120,-43.073999999999984,-6.655999999999985
121,-42.719999999999985,-6.302499999999988
122,-42.365999999999985,-5.948999999999984
123,-42.011999999999986,-5.595499999999987
124,-41.65799999999999,-5.24199999999999
125,-41.30399999999999,-4.888499999999986
126,-40.94999999999999,-4.5349999999999895
127,-40.59599999999999,-4.181499999999993
128,-40.24199999999999,-3.827999999999996
129,-39.88799999999999,-3.474499999999992
130,-39.53399999999999,-3.120999999999995
131,-39.17999999999999,-2.7674999999999983
132,-38.82599999999999,-2.4139999999999944
133,-38.471999999999994,-2.0604999999999976
134,-38.117999999999995,-1.7070000000000007
135,-37.763999999999996,-1.3534999999999968
136,-37.41,-1.0
137,-37.2895,-0.9500000000000011
138,-37.169,-0.9000000000000004
139,-37.0485,-0.8500000000000014
140,-36.928,-0.8000000000000007
141,-36.8075,-0.75
142,-36.687,-0.7000000000000011
143,-36.5665,-0.6500000000000004
144,-36.446,-0.6000000000000014
145,-36.3255,-0.5500000000000007
146,-36.205,-0.5
147,-36.0845,-0.45000000000000107
148,-35.964,-0.40000000000000036
149,-35.8435,-0.3500000000000014
150,-35.723,-0.3000000000000007
151,-35.6025,-0.25
152,-35.482,-0.20000000000000107
153,-35.3615,-0.15000000000000036
154,-35.241,-0.10000000000000142
155,-35.1205,-0.05
156,-35.0,0.0
157,-34.5,0.0
158,-34.0,0.0
159,-33.5,0.0
160,-33.0,0.0
161,-32.5,0.0
162,-32.0,0.0
163,-31.5,0.0
164,-31.0,0.0
165,-30.5,0.0
166,-30.0,0.0
167,-29.5,0.0
168,-29.0,0.0
169,-28.5,0.0
170,-28.0,0.0
171,-27.5,0.0
172,-27.0,0.0
173,-26.5,0.0
174,-26.0,0.0
175,-25.5,0.0
176,-25.0,0.0
177,-24.5,0.0
178,-24.0,0.0
179,-23.5,0.0
180,-23.0,0.0
181,-22.5,0.0
182,-22.0,0.0
183,-21.5,0.0
184,-21.0,0.0
185,-20.5,0.0
186,-20.0,0.0
187,-19.5,0.0
188,-19.0,0.0
189,-18.5,0.0
190,-18.0,0.0
191,-17.5,0.0
192,-17.0,0.0
193,-16.5,0.0
194,-16.0,0.0
195,-15.5,0.0
